Simulation,Transitions
65,"{'M_and_U_to_M_and_M': 22, 'U_and_M_to_U_and_U': 26, 'Polymerase_M_to_A': 28, 'A_and_M_to_A_and_A': 19, 'M_and_A_to_M_and_M': 29, 'A_and_U_to_A_and_A': 42, 'U_and_A_to_U_and_U': 49}"
66,"{'U_and_M_to_U_and_U': 27, 'M_and_U_to_M_and_M': 48, 'Polymerase_M_to_A': 43, 'A_and_M_to_A_and_A': 16, 'M_and_A_to_M_and_M': 40, 'U_and_A_to_U_and_U': 28, 'A_and_U_to_A_and_A': 22}"
67,"{'M_and_U_to_M_and_M': 29, 'U_and_M_to_U_and_U': 32, 'Polymerase_M_to_A': 49, 'M_and_A_to_M_and_M': 60, 'A_and_M_to_A_and_A': 22, 'A_and_U_to_A_and_A': 28, 'U_and_A_to_U_and_U': 17}"
68,"{'U_and_M_to_U_and_U': 40, 'M_and_U_to_M_and_M': 46, 'Polymerase_M_to_A': 26, 'A_and_M_to_A_and_A': 7, 'A_and_U_to_A_and_A': 19, 'M_and_A_to_M_and_M': 9, 'U_and_A_to_U_and_U': 43}"
69,"{'M_and_U_to_M_and_M': 29, 'U_and_M_to_U_and_U': 15, 'Polymerase_M_to_A': 47, 'A_and_U_to_A_and_A': 26, 'A_and_M_to_A_and_A': 24, 'M_and_A_to_M_and_M': 53, 'U_and_A_to_U_and_U': 25}"
70,"{'M_and_U_to_M_and_M': 48, 'U_and_M_to_U_and_U': 36, 'Polymerase_M_to_A': 52, 'U_and_A_to_U_and_U': 48, 'A_and_M_to_A_and_A': 18, 'M_and_A_to_M_and_M': 38, 'A_and_U_to_A_and_A': 34}"
71,"{'U_and_M_to_U_and_U': 35, 'M_and_U_to_M_and_M': 41, 'Polymerase_M_to_A': 38, 'A_and_M_to_A_and_A': 9, 'U_and_A_to_U_and_U': 51, 'A_and_U_to_A_and_A': 29, 'M_and_A_to_M_and_M': 16}"
72,"{'U_and_M_to_U_and_U': 12, 'M_and_U_to_M_and_M': 23, 'Polymerase_M_to_A': 56, 'A_and_U_to_A_and_A': 21, 'A_and_M_to_A_and_A': 31, 'U_and_A_to_U_and_U': 21, 'M_and_A_to_M_and_M': 61}"
73,"{'U_and_M_to_U_and_U': 46, 'M_and_U_to_M_and_M': 25, 'Polymerase_M_to_A': 13, 'A_and_U_to_A_and_A': 43, 'U_and_A_to_U_and_U': 51}"
74,"{'M_and_U_to_M_and_M': 22, 'U_and_M_to_U_and_U': 21, 'Polymerase_M_to_A': 39, 'M_and_A_to_M_and_M': 40, 'A_and_U_to_A_and_A': 29, 'A_and_M_to_A_and_A': 23, 'U_and_A_to_U_and_U': 29}"
75,"{'M_and_U_to_M_and_M': 32, 'U_and_M_to_U_and_U': 30, 'Polymerase_M_to_A': 42, 'A_and_U_to_A_and_A': 36, 'M_and_A_to_M_and_M': 47, 'A_and_M_to_A_and_A': 24, 'U_and_A_to_U_and_U': 26}"
76,"{'M_and_U_to_M_and_M': 30, 'U_and_M_to_U_and_U': 32, 'Polymerase_M_to_A': 25, 'A_and_M_to_A_and_A': 8, 'U_and_A_to_U_and_U': 54, 'A_and_U_to_A_and_A': 36, 'M_and_A_to_M_and_M': 7}"
77,"{'M_and_U_to_M_and_M': 45, 'U_and_M_to_U_and_U': 31, 'Polymerase_M_to_A': 44, 'A_and_U_to_A_and_A': 34, 'A_and_M_to_A_and_A': 19, 'U_and_A_to_U_and_U': 42, 'M_and_A_to_M_and_M': 36}"
78,"{'U_and_M_to_U_and_U': 43, 'M_and_U_to_M_and_M': 42, 'Polymerase_M_to_A': 34, 'A_and_M_to_A_and_A': 19, 'U_and_A_to_U_and_U': 51, 'A_and_U_to_A_and_A': 44, 'M_and_A_to_M_and_M': 31}"
79,"{'M_and_U_to_M_and_M': 36, 'U_and_M_to_U_and_U': 14, 'Polymerase_M_to_A': 62, 'A_and_M_to_A_and_A': 28, 'M_and_A_to_M_and_M': 60, 'A_and_U_to_A_and_A': 17, 'U_and_A_to_U_and_U': 30}"
80,"{'M_and_U_to_M_and_M': 38, 'U_and_M_to_U_and_U': 22, 'Polymerase_M_to_A': 46, 'A_and_M_to_A_and_A': 29, 'A_and_U_to_A_and_A': 29, 'M_and_A_to_M_and_M': 55, 'U_and_A_to_U_and_U': 34}"
81,"{'M_and_U_to_M_and_M': 46, 'Polymerase_M_to_A': 47, 'U_and_M_to_U_and_U': 38, 'A_and_M_to_A_and_A': 14, 'A_and_U_to_A_and_A': 35, 'M_and_A_to_M_and_M': 48, 'U_and_A_to_U_and_U': 42}"
82,"{'M_and_U_to_M_and_M': 22, 'Polymerase_M_to_A': 51, 'U_and_M_to_U_and_U': 21, 'M_and_A_to_M_and_M': 67, 'A_and_M_to_A_and_A': 23, 'A_and_U_to_A_and_A': 28, 'U_and_A_to_U_and_U': 19}"
83,"{'U_and_M_to_U_and_U': 17, 'M_and_U_to_M_and_M': 34, 'Polymerase_M_to_A': 48, 'A_and_U_to_A_and_A': 22, 'M_and_A_to_M_and_M': 42, 'A_and_M_to_A_and_A': 23, 'U_and_A_to_U_and_U': 36}"
84,"{'U_and_M_to_U_and_U': 37, 'M_and_U_to_M_and_M': 33, 'Polymerase_M_to_A': 45, 'A_and_U_to_A_and_A': 26, 'U_and_A_to_U_and_U': 18, 'M_and_A_to_M_and_M': 45, 'A_and_M_to_A_and_A': 18}"
85,"{'M_and_U_to_M_and_M': 20, 'U_and_M_to_U_and_U': 35, 'Polymerase_M_to_A': 11, 'U_and_A_to_U_and_U': 50, 'A_and_U_to_A_and_A': 42, 'A_and_M_to_A_and_A': 9}"
86,"{'M_and_U_to_M_and_M': 23, 'U_and_M_to_U_and_U': 26, 'Polymerase_M_to_A': 36, 'M_and_A_to_M_and_M': 41, 'A_and_M_to_A_and_A': 34, 'U_and_A_to_U_and_U': 30, 'A_and_U_to_A_and_A': 19}"
87,"{'U_and_M_to_U_and_U': 21, 'M_and_U_to_M_and_M': 28, 'Polymerase_M_to_A': 54, 'A_and_M_to_A_and_A': 26, 'M_and_A_to_M_and_M': 65, 'U_and_A_to_U_and_U': 9, 'A_and_U_to_A_and_A': 16}"
88,"{'M_and_U_to_M_and_M': 36, 'U_and_M_to_U_and_U': 29, 'Polymerase_M_to_A': 44, 'A_and_M_to_A_and_A': 18, 'M_and_A_to_M_and_M': 31, 'A_and_U_to_A_and_A': 30, 'U_and_A_to_U_and_U': 41}"
89,"{'M_and_U_to_M_and_M': 29, 'U_and_M_to_U_and_U': 23, 'Polymerase_M_to_A': 49, 'M_and_A_to_M_and_M': 59, 'A_and_M_to_A_and_A': 18, 'U_and_A_to_U_and_U': 21, 'A_and_U_to_A_and_A': 29}"
