Time Steps,Polymerase Count,Active Histone Count,Acetylated Histone Count,Methylated Histone Count,Unmodified Histone Count,Noisy Changes Count,Enzyme Changes Count
33301,0,47,42,5,13,0,0
33401,0,49,46,3,11,0,0
33501,0,50,46,4,10,0,0
33601,0,53,50,3,7,0,0
33701,0,53,50,3,7,0,0
33801,0,52,47,5,8,0,0
33901,0,50,46,4,10,0,0
34001,0,44,41,3,16,0,1
34101,0,45,41,4,15,0,0
34201,0,49,45,4,11,0,0
34301,0,45,42,3,15,0,0
34401,0,45,42,3,15,0,1
34501,0,43,41,2,17,0,0
34601,0,48,44,4,12,0,0
34701,0,47,44,3,13,0,0
34801,0,45,43,2,15,1,0
34901,0,44,42,2,16,0,0
35001,0,45,44,1,15,0,0
35101,0,44,43,1,16,0,0
35201,0,49,46,3,11,0,0
35301,0,50,47,3,10,0,0
35401,0,50,47,3,10,0,0
35501,0,51,48,3,9,0,0
35601,0,46,45,1,14,0,0
35701,0,53,52,1,7,0,0
35801,0,49,49,0,11,0,0
35901,0,50,50,0,10,0,0
36001,0,50,50,0,10,0,0
36101,0,51,51,0,9,0,0
36201,0,53,53,0,7,0,0
36301,0,51,51,0,9,0,0
36401,0,51,51,0,9,0,0
36501,0,49,49,0,11,0,0
36601,0,48,48,0,12,0,1
36701,0,47,47,0,13,0,0
36801,0,48,48,0,12,0,0
36901,0,49,49,0,11,0,0
37001,0,47,47,0,13,0,0
37101,0,49,49,0,11,0,0
37201,0,47,47,0,13,0,0
37301,0,47,46,1,13,0,0
37401,0,46,45,1,14,0,0
37501,0,47,46,1,13,0,0
37601,0,44,42,2,16,0,1
37701,0,46,45,1,14,0,0
37801,0,43,42,1,17,0,0
37901,0,47,46,1,13,0,0
38001,0,48,45,3,12,0,0
38101,0,44,41,3,16,0,0
38201,0,44,41,3,16,0,0
38301,0,43,40,3,17,0,0
38401,0,39,37,2,21,0,0
38501,0,44,43,1,16,0,0
38601,0,47,46,1,13,0,0
38701,0,48,47,1,12,0,0
38801,0,47,46,1,13,0,0
38901,0,47,45,2,13,0,1
39001,0,45,44,1,15,0,0
39101,0,47,46,1,13,0,0
39201,0,44,43,1,16,0,0
39301,0,45,44,1,15,0,0
39401,0,48,46,2,12,0,0
39501,0,48,45,3,12,0,1
39601,0,46,43,3,14,0,0
39701,0,46,42,4,14,0,1
39801,0,47,44,3,13,0,0
39901,0,43,39,4,17,0,0
40001,0,49,41,8,11,0,0
40101,0,50,40,10,10,0,0
40201,0,46,34,12,14,0,0
40301,0,49,41,8,11,0,0
40401,0,46,39,7,14,0,0
40501,0,44,42,2,16,0,0
40601,0,46,45,1,14,0,0
40701,0,46,44,2,14,0,0
40801,0,48,46,2,12,0,0
40901,0,48,46,2,12,0,0
41001,0,50,48,2,10,0,0
41101,0,50,48,2,10,0,0
41201,0,54,53,1,6,0,0
41301,0,52,52,0,8,0,0
41401,0,52,51,1,8,0,0
41501,0,51,50,1,9,0,0
41601,0,55,54,1,5,0,0
41701,0,55,55,0,5,0,0
41801,0,52,52,0,8,0,0
41901,0,52,52,0,8,1,0
42001,0,53,52,1,7,0,0
42101,0,50,49,1,10,1,0
42201,0,52,51,1,8,0,0
42301,0,52,52,0,8,0,0
42401,0,53,52,1,7,0,0
42501,0,51,50,1,9,0,0
42601,0,49,49,0,11,0,0
42701,0,51,51,0,9,0,0
42801,0,54,54,0,6,0,0
42901,0,55,54,1,5,0,0
43001,0,52,52,0,8,0,0
43101,0,53,51,2,7,0,0
43201,0,49,48,1,11,0,0
43301,0,50,49,1,10,0,0
43401,0,46,43,3,14,0,0
43501,0,48,45,3,12,0,0
43601,0,48,45,3,12,0,0
43701,0,48,45,3,12,0,0
43801,0,46,44,2,14,0,0
43901,0,49,47,2,11,0,0
44001,0,49,47,2,11,0,0
44101,0,48,46,2,12,0,0
44201,0,48,46,2,12,0,0
44301,0,46,43,3,14,0,0
44401,0,46,42,4,14,0,0
44501,0,44,40,4,16,0,0
44601,0,41,37,4,19,0,0
44701,0,38,35,3,22,0,1
44801,0,40,37,3,20,0,0
44901,0,40,38,2,20,1,0
45001,0,44,40,4,16,0,0
45101,0,45,41,4,15,0,0
45201,0,49,45,4,11,0,0
45301,0,50,48,2,10,0,0
45401,0,48,47,1,12,0,0
45501,0,48,47,1,12,0,0
45601,0,45,43,2,15,0,0
45701,0,46,42,4,14,0,0
45801,0,45,41,4,15,0,0
45901,0,43,38,5,17,0,0
46001,0,45,39,6,15,0,0
46101,0,46,38,8,14,0,0
46201,0,41,31,10,19,0,0
46301,0,41,33,8,19,0,0
46401,0,41,30,11,19,0,0
46501,0,36,23,13,24,0,0
46601,0,42,25,17,18,0,0
46701,0,40,21,19,20,0,0
46801,0,40,14,26,20,0,0
46901,0,44,9,35,16,0,1
47001,0,47,7,40,13,0,0
47101,0,44,5,39,16,0,0
47201,0,41,3,38,19,0,0
47301,0,39,2,37,21,0,0
47401,0,38,0,38,22,0,0
47501,0,41,0,41,19,0,0
47601,0,45,0,45,15,0,0
47701,0,47,0,47,13,0,0
47801,0,48,1,47,12,0,0
47901,0,46,1,45,14,0,1
48001,0,46,2,44,14,0,0
48101,0,46,1,45,14,0,0
48201,0,51,0,51,9,0,0
48301,0,48,0,48,12,0,0
48401,0,51,0,51,9,0,0
48501,0,44,0,44,16,0,0
48601,0,47,1,46,13,0,0
48701,0,47,1,46,13,0,0
48801,0,48,1,47,12,0,0
48901,0,52,0,52,8,0,0
49001,0,50,0,50,10,0,0
49101,0,54,0,54,6,0,0
49201,0,50,0,50,10,1,0
49301,0,50,0,50,10,0,0
49401,0,53,0,53,7,0,0
49501,0,54,1,53,6,0,0
49601,0,50,1,49,10,1,0
49701,0,47,1,46,13,0,0
49801,0,47,3,44,13,1,0
49901,0,48,2,46,12,0,0
50001,0,46,2,44,14,0,0
50101,0,49,4,45,11,0,0
50201,0,46,4,42,14,0,0
50301,0,46,5,41,14,0,0
50401,0,46,5,41,14,0,0
50501,0,47,7,40,13,0,0
50601,0,46,8,38,14,1,0
50701,0,47,9,38,13,0,1
50801,0,41,7,34,19,1,0
50901,0,41,7,34,19,0,1
51001,0,44,8,36,16,0,0
51101,0,45,8,37,15,0,0
51201,0,47,7,40,13,0,0
51301,0,48,7,41,12,0,0
51401,0,43,8,35,17,0,0
51501,0,37,8,29,23,0,0
51601,0,34,8,26,26,0,0
51701,0,32,10,22,28,0,0
51801,0,28,12,16,32,0,0
51901,0,27,12,15,33,0,0
52001,0,30,18,12,30,0,0
52101,0,30,23,7,30,0,0
52201,0,33,26,7,27,0,1
52301,0,40,33,7,20,0,0
52401,0,35,28,7,25,1,0
52501,0,35,28,7,25,0,0
52601,0,39,29,10,21,0,0
52701,0,38,28,10,22,0,0
52801,0,42,32,10,18,0,0
52901,0,43,31,12,17,0,0
53001,0,41,32,9,19,0,0
53101,0,41,36,5,19,0,0
53201,0,44,40,4,16,0,0
53301,0,44,39,5,16,0,0
53401,0,46,43,3,14,0,0
53501,0,46,42,4,14,0,0
53601,0,42,39,3,18,0,0
53701,0,47,44,3,13,0,0
53801,0,44,41,3,16,0,0
53901,0,49,46,3,11,0,0
54001,0,44,43,1,16,0,0
54101,0,50,48,2,10,0,0
54201,0,48,46,2,12,0,0
54301,0,46,45,1,14,0,0
54401,0,48,47,1,12,0,0
54501,0,47,46,1,13,0,0
54601,0,46,44,2,14,0,0
54701,0,41,40,1,19,0,0
54801,0,41,40,1,19,0,0
54901,0,44,43,1,16,0,0
55001,0,43,42,1,17,0,0
55101,0,45,42,3,15,0,0
55201,0,49,44,5,11,0,1
55301,0,42,36,6,18,0,0
55401,0,46,40,6,14,0,1
55501,0,44,37,7,16,0,0
55601,0,41,32,9,19,0,0
55701,0,36,27,9,24,0,1
55801,0,35,25,10,25,0,0
55901,0,44,28,16,16,0,0
56001,0,40,24,16,20,0,0
56101,0,38,19,19,22,0,0
56201,0,36,16,20,24,0,0
56301,0,41,15,26,19,0,0
56401,0,34,10,24,26,0,1
56501,0,34,6,28,26,0,0
56601,0,36,5,31,24,0,0
56701,0,38,2,36,22,0,0
56801,0,42,1,41,18,0,1
56901,0,44,0,44,16,0,0
57001,0,47,0,47,13,0,0
57101,0,50,0,50,10,0,0
57201,0,50,0,50,10,0,0
57301,0,52,0,52,8,0,0
57401,0,52,0,52,8,0,0
57501,0,55,0,55,5,0,0
57601,0,54,0,54,6,0,0
57701,0,52,0,52,8,0,0
57801,0,53,0,53,7,0,0
57901,0,53,0,53,7,0,0
58001,0,48,0,48,12,0,0
58101,0,50,0,50,10,0,0
58201,0,52,1,51,8,0,0
58301,0,51,1,50,9,0,0
58401,0,52,2,50,8,0,0
58501,0,49,1,48,11,0,0
58601,0,47,0,47,13,0,0
58701,0,51,0,51,9,0,0
58801,0,51,0,51,9,0,0
58901,0,51,1,50,9,0,0
59001,0,52,2,50,8,0,0
59101,0,49,1,48,11,0,0
59201,0,48,1,47,12,0,0
59301,0,50,2,48,10,0,0
59401,0,44,2,42,16,0,0
